2013	72113,0.3333333333333333;72114,0.3333333333333333;72115,0.3333333333333333;72116,0.3333333333333333;72117,0.3333333333333333;72118,0.3333333333333333;72119,0.3333333333333333;72120,0.3333333333333333;72121,0.3333333333333333;72122,0.3333333333333333;72392,0.3333333333333333;72393,0.3333333333333333;72394,0.3333333333333333;72395,0.3333333333333333;72396,0.3333333333333333;72397,0.3333333333333333;72398,0.3333333333333333;72399,0.3333333333333333;72400,0.3333333333333333;72401,0.3333333333333333;72629,0.3333333333333333;72630,0.3333333333333333;72631,0.3333333333333333;72632,0.3333333333333333;72633,0.3333333333333333;72634,0.3333333333333333;72635,0.3333333333333333;72636,0.3333333333333333;72637,0.3333333333333333;72932,0.3333333333333333;72933,0.3333333333333333;72934,0.3333333333333333;72935,0.3333333333333333;72936,0.3333333333333333;72937,0.3333333333333333;72938,0.3333333333333333;72939,0.3333333333333333;72940,0.3333333333333333;73182,0.3333333333333333;73183,0.3333333333333333;73184,0.3333333333333333;73185,0.3333333333333333;73186,0.3333333333333333;73187,0.3333333333333333;73188,0.3333333333333333;73189,0.3333333333333333;73190,0.3333333333333333;73430,0.3333333333333333;73431,0.3333333333333333;73432,0.3333333333333333;73433,0.3333333333333333;73434,0.3333333333333333;73435,0.3333333333333333;73436,0.3333333333333333;73437,0.3333333333333333;73438,0.3333333333333333;73683,0.3333333333333333;73684,0.3333333333333333;73685,0.3333333333333333;73686,0.3333333333333333;73687,0.3333333333333333;73688,0.3333333333333333;73689,0.3333333333333333;73690,0.3333333333333333;73691,0.3333333333333333;73875,0.3333333333333333;73876,0.3333333333333333;73877,0.3333333333333333;73878,0.3333333333333333;73879,0.3333333333333333;73880,0.3333333333333333;73881,0.3333333333333333;73882,0.3333333333333333;73883,0.3333333333333333;73884,0.3333333333333333;74167,0.3333333333333333;74168,0.3333333333333333;74169,0.3333333333333333;74170,0.3333333333333333;74171,0.3333333333333333;74172,0.3333333333333333;74173,0.3333333333333333;74174,0.3333333333333333;74175,0.3333333333333333;74176,0.3333333333333333;74449,0.3333333333333333;74450,0.3333333333333333;74451,0.3333333333333333;74452,0.3333333333333333;74453,0.3333333333333333;74454,0.3333333333333333;74455,0.3333333333333333;74456,0.3333333333333333;74457,0.3333333333333333;74744,0.3333333333333333;74745,0.3333333333333333;74746,0.3333333333333333;74747,0.3333333333333333;74748,0.3333333333333333;74749,0.3333333333333333;74750,0.3333333333333333;74751,0.3333333333333333;74752,0.3333333333333333
28	72392,0.3333333333333333;72393,0.3333333333333333;72394,0.3333333333333333;72395,0.3333333333333333;72396,0.3333333333333333;72397,0.3333333333333333;72398,0.3333333333333333;72399,0.3333333333333333;72400,0.3333333333333333;72401,0.3333333333333333
3	73182,0.6666666666666666;73183,0.6666666666666666;73184,0.6666666666666666;73185,0.6666666666666666;73186,0.6666666666666666;73187,0.6666666666666666;73188,0.6666666666666666;73189,0.6666666666666666;73190,0.6666666666666666;73430,0.6666666666666666;73431,0.6666666666666666;73432,0.6666666666666666;73433,0.6666666666666666;73434,0.6666666666666666;73435,0.6666666666666666;73436,0.6666666666666666;73437,0.6666666666666666;73438,0.6666666666666666
7	73683,0.3333333333333333;73684,0.3333333333333333;73685,0.3333333333333333;73686,0.3333333333333333;73687,0.3333333333333333;73688,0.3333333333333333;73689,0.3333333333333333;73690,0.3333333333333333;73691,0.3333333333333333
2	74449,1.0;74450,1.0;74451,1.0;74452,1.0;74453,1.0;74454,1.0;74455,1.0;74456,1.0;74457,1.0
23	74744,0.3333333333333333;74745,0.3333333333333333;74746,0.3333333333333333;74747,0.3333333333333333;74748,0.3333333333333333;74749,0.3333333333333333;74750,0.3333333333333333;74751,0.3333333333333333;74752,0.3333333333333333
5	75063,0.3333333333333333;75064,0.3333333333333333;75065,0.3333333333333333;75066,0.3333333333333333;75067,0.3333333333333333;75068,0.3333333333333333;75069,0.3333333333333333;75070,0.3333333333333333;75071,0.3333333333333333;75788,0.6666666666666666;75789,0.6666666666666666;75790,0.6666666666666666;75791,0.6666666666666666;75792,0.6666666666666666;75793,0.6666666666666666;75794,0.6666666666666666;75795,0.6666666666666666;75796,0.6666666666666666;75797,0.6666666666666666
2014	75063,0.3333333333333333;75064,0.3333333333333333;75065,0.3333333333333333;75066,0.3333333333333333;75067,0.3333333333333333;75068,0.3333333333333333;75069,0.3333333333333333;75070,0.3333333333333333;75071,0.3333333333333333;75457,0.3333333333333333;75458,0.3333333333333333;75459,0.3333333333333333;75460,0.3333333333333333;75461,0.3333333333333333;75462,0.3333333333333333;75463,0.3333333333333333;75464,0.3333333333333333;75465,0.3333333333333333;75466,0.3333333333333333;75788,0.3333333333333333;75789,0.3333333333333333;75790,0.3333333333333333;75791,0.3333333333333333;75792,0.3333333333333333;75793,0.3333333333333333;75794,0.3333333333333333;75795,0.3333333333333333;75796,0.3333333333333333;75797,0.3333333333333333;76206,0.3333333333333333;76207,0.3333333333333333;76208,0.3333333333333333;76209,0.3333333333333333;76210,0.3333333333333333;76211,0.3333333333333333;76212,0.3333333333333333;76213,0.3333333333333333;76507,0.3333333333333333;76508,0.3333333333333333;76509,0.3333333333333333;76510,0.3333333333333333;76511,0.3333333333333333;76512,0.3333333333333333;76513,0.3333333333333333;76514,0.3333333333333333;76515,0.3333333333333333;76516,0.3333333333333333
20	75457,0.6666666666666666;75458,0.6666666666666666;75459,0.6666666666666666;75460,0.6666666666666666;75461,0.6666666666666666;75462,0.6666666666666666;75463,0.6666666666666666;75464,0.6666666666666666;75465,0.6666666666666666;75466,0.6666666666666666;76206,0.6666666666666666;76207,0.6666666666666666;76208,0.6666666666666666;76209,0.6666666666666666;76210,0.6666666666666666;76211,0.6666666666666666;76212,0.6666666666666666;76213,0.6666666666666666
6	76507,0.3333333333333333;76508,0.3333333333333333;76509,0.3333333333333333;76510,0.3333333333333333;76511,0.3333333333333333;76512,0.3333333333333333;76513,0.3333333333333333;76514,0.3333333333333333;76515,0.3333333333333333;76516,0.3333333333333333
