les	67937,0.043478260869565216;67940,0.02702702702702703;69542,0.07692307692307693;69816,0.04878048780487805;70916,0.04225352112676056;71612,0.037037037037037035;72635,0.07692307692307693;73431,0.04950495049504951;75063,0.11904761904761904;75458,0.028846153846153848;75788,0.05263157894736842
grands	67937,0.014492753623188406;75788,0.02631578947368421
groupes	67937,0.014492753623188406
animaux	67937,0.014492753623188406
y	67937,0.028985507246376812
compris	67937,0.014492753623188406
homme	67937,0.014492753623188406
chez	67937,0.014492753623188406
ce	67937,0.043478260869565216;68280,0.03773584905660377;70916,0.028169014084507043;76213,0.09523809523809523
sujet	67937,0.014492753623188406
était	67937,0.014492753623188406
très	67937,0.014492753623188406;68280,0.018867924528301886;74457,0.125
peu	67937,0.014492753623188406
étudié	67937,0.014492753623188406;72397,0.045454545454545456
Pascal	67938,0.0625
Pics	67938,0.0625
paléoanthropologue	67938,0.125
au	67938,0.0625;68886,0.06172839506172839;69541,0.09090909090909091;69816,0.012195121951219513;71614,0.05555555555555555;73185,0.125;73684,0.08695652173913043;73876,0.024390243902439025;74450,0.05555555555555555;75064,0.07142857142857142;75065,0.07692307692307693;75458,0.019230769230769232;75792,0.05555555555555555
Collège	67938,0.0625
France	67938,0.0625;70916,0.007042253521126761;71612,0.037037037037037035;72636,0.08333333333333333
Un	67938,0.0625;68882,0.07142857142857142;69542,0.07692307692307693;70165,0.0625;74457,0.125;75458,0.038461538461538464;75788,0.05263157894736842
dans	67938,0.0625;67940,0.02702702702702703;68280,0.018867924528301886;69178,0.058823529411764705;69811,0.05405405405405406;70163,0.045454545454545456;70421,0.1;70423,0.047619047619047616;72119,0.05555555555555555;74168,0.0392156862745098;74750,0.04;75458,0.009615384615384616;75789,0.02702702702702703
entreprise	67938,0.0625;72933,0.034482758620689655
un	67938,0.0625;67940,0.05405405405405406;67941,0.25;68274,0.07692307692307693;68280,0.03773584905660377;68882,0.07142857142857142;68883,0.1111111111111111;68886,0.06172839506172839;69183,0.11764705882352941;69821,0.125;70423,0.09523809523809523;70747,0.15384615384615385;70916,0.007042253521126761;71614,0.05555555555555555;72119,0.05555555555555555;72397,0.045454545454545456;72635,0.038461538461538464;72939,0.14285714285714285;72940,0.0625;73431,0.0297029702970297;73684,0.043478260869565216;74167,0.1111111111111111;74168,0.0196078431372549;74752,0.07692307692307693;75063,0.047619047619047616;75065,0.07692307692307693;75070,0.16;75789,0.08108108108108109
dérange	67938,0.0625
Le	67940,0.02702702702702703;69179,0.07692307692307693;70914,0.029411764705882353;70916,0.02112676056338028;71612,0.037037037037037035;71836,0.045454545454545456;72115,0.2;72119,0.027777777777777776;72933,0.034482758620689655;73684,0.043478260869565216;74170,0.25;74450,0.1111111111111111;74455,0.07142857142857142;76213,0.047619047619047616
fauteuil	67940,0.05405405405405406
roulant	67940,0.02702702702702703
intelligent	67940,0.02702702702702703
développé	67940,0.02702702702702703
cadre	67940,0.02702702702702703;74168,0.0196078431372549
projet	67940,0.02702702702702703;74168,0.0392156862745098
franco	67940,0.02702702702702703
anglais	67940,0.02702702702702703
SYSIASS	67940,0.02702702702702703
objectif	67940,0.02702702702702703
est	67940,0.02702702702702703;68280,0.018867924528301886;68390,0.023255813953488372;70916,0.02112676056338028;72119,0.027777777777777776;72397,0.045454545454545456;73431,0.009900990099009901;75065,0.15384615384615385
offrir	67940,0.02702702702702703
personnes	67940,0.02702702702702703
atteitnes	67940,0.02702702702702703
handicap	67940,0.02702702702702703
moteur	67940,0.02702702702702703;72119,0.027777777777777776
une	67940,0.02702702702702703;68280,0.018867924528301886;68886,0.024691358024691357;69183,0.058823529411764705;69816,0.036585365853658534;70161,0.02702702702702703;70423,0.047619047619047616;70747,0.038461538461538464;72119,0.027777777777777776;72939,0.07142857142857142;73431,0.009900990099009901;74167,0.044444444444444446;74450,0.05555555555555555;74750,0.04;75789,0.02702702702702703
aide	67940,0.02702702702702703
technique	67940,0.02702702702702703
évolutive	67940,0.02702702702702703
adaptable	67940,0.02702702702702703
types	67940,0.02702702702702703
fauteuils	67940,0.02702702702702703
HERCULE	67941,0.125
prototype	67941,0.125
Cobot	67941,0.125
robot	67941,0.125;68883,0.05555555555555555;74170,0.25
collaboratif	67941,0.125
ResQME	68274,0.07692307692307693
porte	68274,0.07692307692307693
clés	68274,0.07692307692307693
breveté	68274,0.07692307692307693
peut	68274,0.07692307692307693
sauver	68274,0.07692307692307693
vies	68274,0.07692307692307693
route	68274,0.07692307692307693;69179,0.07692307692307693
Arts	68276,0.125;70161,0.05405405405405406;70422,0.08333333333333333;75457,0.05
Métiers	68276,0.125;70161,0.05405405405405406;70422,0.08333333333333333
école	68276,0.125
