33	67385,0.05555555555555555;67386,0.1111111111111111;67387,0.04878048780487805;67389,0.04;67390,0.05555555555555555;67391,0.05;67553,0.047619047619047616;67556,0.044444444444444446;67557,0.043478260869565216;67561,0.2222222222222222;67801,0.05555555555555555;67802,0.0625;67937,0.058823529411764705;67939,0.04;67941,0.05555555555555555;67942,0.0625;67943,0.0625;67944,0.05263157894736842;67945,0.04;68276,0.05263157894736842;68277,0.05263157894736842;68278,0.058823529411764705;68280,0.0625;68281,0.05555555555555555;68383,0.03125;68384,0.037037037037037035;68385,0.0625;68388,0.047619047619047616;68389,0.058823529411764705;68390,0.038461538461538464;68391,0.058823529411764705;68392,0.05263157894736842;68393,0.05555555555555555;68638,0.041666666666666664;68639,0.11764705882352941;68640,0.0625;68641,0.058823529411764705;68642,0.038461538461538464;68644,0.13333333333333333;68645,0.038461538461538464;68883,0.05263157894736842;68886,0.0625;68887,0.05;68888,0.05555555555555555;69178,0.0625;69182,0.034482758620689655;69183,0.03225806451612903;69184,0.041666666666666664;69185,0.058823529411764705;69536,0.04878048780487805;69537,0.11764705882352941;69538,0.05555555555555555;69539,0.0625;69540,0.047619047619047616;69541,0.09090909090909091;69813,0.0625;69814,0.13333333333333333;69816,0.05263157894736842;69819,0.05555555555555555;70161,0.045454545454545456;70163,0.0625;70167,0.04878048780487805;70168,0.0625;70421,0.0625;70422,0.02702702702702703;70423,0.041666666666666664;70424,0.0625;70425,0.0625;70426,0.05555555555555555;70429,0.05263157894736842;70743,0.05;70744,0.038461538461538464;70748,0.0625;70751,0.07142857142857142;70916,0.06818181818181818;70917,0.058823529411764705;70918,0.06666666666666667;70919,0.0625;70920,0.09090909090909091;70921,0.1;70922,0.047619047619047616;70923,0.05263157894736842;71358,0.125;71361,0.0625;71362,0.05555555555555555;71612,0.027777777777777776;71614,0.05263157894736842;71618,0.05;71621,0.04878048780487805;71835,0.038461538461538464;71836,0.06451612903225806;71837,0.058823529411764705;71838,0.0625;71840,0.05263157894736842;72113,0.041666666666666664;72114,0.058823529411764705;72117,0.041666666666666664;72119,0.05263157894736842;72392,0.06060606060606061;72395,0.07692307692307693;72397,0.05263157894736842;72398,0.11764705882352941;72399,0.05555555555555555;72630,0.047619047619047616;72632,0.05;72635,0.125;72934,0.047619047619047616;72936,0.041666666666666664;72939,0.03571428571428571;72940,0.047619047619047616;73182,0.041666666666666664;73183,0.045454545454545456;73186,0.10526315789473684;73188,0.05;73189,0.058823529411764705;73190,0.047619047619047616;73430,0.034482758620689655;73431,0.045454545454545456;73433,0.05263157894736842;73434,0.0625;73436,0.038461538461538464;73683,0.045454545454545456;73687,0.058823529411764705;73688,0.047619047619047616;73689,0.047619047619047616;73875,0.05;73876,0.045454545454545456;73882,0.02702702702702703;73883,0.058823529411764705;74167,0.014285714285714285;74168,0.07142857142857142;74170,0.047619047619047616;74172,0.0625;74173,0.043478260869565216;74176,0.043478260869565216;74452,0.058823529411764705;74744,0.047619047619047616;74745,0.047619047619047616;74750,0.0625;74751,0.043478260869565216;74752,0.05263157894736842;75066,0.0625;75067,0.05263157894736842;75068,0.05263157894736842;75070,0.058823529411764705;75457,0.0625;75460,0.05;75463,0.0625;75789,0.05;75791,0.047619047619047616;76208,0.10526315789473684;76209,0.0625;76210,0.05555555555555555;76211,0.05;76212,0.041666666666666664;76512,0.05555555555555555;76513,0.05
4	67385,0.05555555555555555;67387,0.07317073170731707;67389,0.04;67553,0.047619047619047616;67561,0.2222222222222222;68390,0.038461538461538464;68391,0.058823529411764705;68642,0.07692307692307693;68883,0.21052631578947367;68887,0.1;69178,0.125;69182,0.034482758620689655;69537,0.058823529411764705;69539,0.125;69540,0.09523809523809523;70423,0.08333333333333333;71614,0.10526315789473684;71840,0.05263157894736842;72395,0.038461538461538464;72397,0.15789473684210525;73189,0.058823529411764705;73430,0.06896551724137931;73683,0.09090909090909091;73687,0.058823529411764705;73688,0.047619047619047616;73689,0.047619047619047616;73876,0.045454545454545456;74167,0.02857142857142857;75789,0.1;76212,0.041666666666666664;76513,0.2
92	67385,0.05555555555555555;68887,0.05;70168,0.125;71835,0.038461538461538464;73190,0.09523809523809523;74172,0.0625;75789,0.1;76209,0.0625
38	67385,0.05555555555555555;67556,0.022222222222222223;68639,0.058823529411764705;69185,0.058823529411764705;71618,0.1;72398,0.058823529411764705;72934,0.047619047619047616;73183,0.045454545454545456;73433,0.05263157894736842;73883,0.058823529411764705;76208,0.05263157894736842
77	67385,0.05555555555555555;68384,0.037037037037037035;70744,0.038461538461538464;71614,0.05263157894736842;73689,0.047619047619047616;75788,0.058823529411764705;76212,0.041666666666666664
85	67385,0.05555555555555555;70429,0.05263157894736842;72113,0.041666666666666664;73182,0.041666666666666664
olivier	67385,0.05555555555555555;68642,0.038461538461538464
bernard	67385,0.05555555555555555
inria	67385,0.05555555555555555;67386,0.05555555555555555
Paris	67386,0.05555555555555555;67945,0.04;68276,0.05263157894736842;68392,0.05263157894736842;68888,0.05555555555555555;69536,0.024390243902439025;69816,0.05263157894736842;70426,0.05555555555555555;70748,0.03125;72936,0.041666666666666664;73883,0.058823529411764705;74751,0.043478260869565216;75071,0.16666666666666666;76211,0.05
Rocquencourt	67386,0.05555555555555555
Pascale	67386,0.05555555555555555;71836,0.03225806451612903
Minet	67386,0.05555555555555555
